# Frequency	Jx+	Jx-	Jy+	Jy-	Jz+	Jz-
116.1292894415	0.0173685759	0.0245804339	0.0190458622	0.0229031476	0.0183524321	0.0235965777
116.8983575835	0.0201120116	0.0271467015	0.0212441234	0.0260145896	0.0220915405	0.0251671726
117.6674257255	0.0212859559	0.0305335539	0.0229148695	0.0289046403	0.0236782191	0.0281412908
118.4364938675	0.0153779871	0.0335085923	0.0238188744	0.0250677050	0.0233877107	0.0254988687
119.2055620095	0.0128136362	0.0364623817	0.0237833202	0.0254926977	0.0248733549	0.0244026631
119.9746301515	0.0108476271	0.0385614929	0.0234241321	0.0259849878	0.0247475808	0.0246615391
120.7436982935	0.0094881218	0.0404404914	0.0233440324	0.0265845809	0.0239005318	0.0260280814
121.5127664355	0.0090849966	0.0411891431	0.0241941126	0.0260800270	0.0235312315	0.0267429081
122.2818345775	0.0092845478	0.0415852262	0.0253271832	0.0255425908	0.0237445604	0.0271252136
123.0509027195	0.0100722438	0.0415632263	0.0261772858	0.0254581842	0.0241277353	0.0275077348
123.8199708615	0.0110189604	0.0412921195	0.0268865263	0.0254245536	0.0247281425	0.0275829374
124.5890390035	0.0121761546	0.0410456413	0.0274887371	0.0257330588	0.0248475426	0.0283742533
125.3581071455	0.0132180811	0.0407902933	0.0280056769	0.0260026974	0.0240866732	0.0299217012
126.1271752875	0.0139091254	0.0409978746	0.0283302385	0.0265767615	0.0226185639	0.0322884361
126.8962434295	0.0140690968	0.0419029068	0.0289486459	0.0270233577	0.0209996815	0.0349723221
127.6653115715	0.0142150911	0.0428311673	0.0294381610	0.0276080973	0.0191292332	0.0379170252
128.4343797135	0.0143704520	0.0439266533	0.0294807208	0.0288163845	0.0179882432	0.0403088621
129.2034478555	0.0138841801	0.0456042503	0.0292306573	0.0302577731	0.0178818651	0.0416065653
129.9725159975	0.0131298826	0.0479582197	0.0295659247	0.0315221776	0.0190576262	0.0420304761
130.7415841395	0.0126341430	0.0500309416	0.0301988253	0.0324662593	0.0201559116	0.0425091730
131.5106522815	0.0122941568	0.0516639463	0.0300879832	0.0338701199	0.0207468258	0.0432112774
132.2797204235	0.0149181175	0.0516830791	0.0314508434	0.0351503533	0.0223136490	0.0442875477
133.0487885655	0.0143375842	0.0477100634	0.0340757992	0.0279718484	0.0171850583	0.0448625893
133.8178567075	0.0168761520	0.0480145329	0.0373854985	0.0275051864	0.0212614252	0.0436292597
134.5869248495	0.0205089586	0.0489528344	0.0367098742	0.0327519188	0.0246859561	0.0447758370
135.3559929915	0.0283976518	0.0511715602	0.0376937089	0.0418755032	0.0315899478	0.0479792643
136.1250611335	0.0221770649	0.0558818514	0.0383939511	0.0396649651	0.0322789103	0.0457800059
136.8941292755	0.0251984355	0.0537160383	0.0363307213	0.0425837526	0.0373740296	0.0415404442
137.6631974175	0.0263927275	0.0555899208	0.0362283945	0.0457542538	0.0392000995	0.0427825487
138.4322655595	0.0285151297	0.0550352052	0.0365618000	0.0469885349	0.0413685507	0.0421817842
139.2013337015	0.0330896641	0.0569833310	0.0390254622	0.0510475330	0.0459420037	0.0441309914
139.9704018435	0.0397554362	0.0652816109	0.0420995659	0.0629374812	0.0538886855	0.0511483616
140.7394699855	0.0505787774	0.0683214672	0.0488569405	0.0700433041	0.0618530772	0.0570471674
141.5085381274	0.0476105063	0.0653957822	0.0454301488	0.0675761397	0.0560875020	0.0569187864
142.2776062694	0.0425894292	0.0550572517	0.0414899055	0.0561567753	0.0421647420	0.0554819389
143.0466744114	0.0619795146	0.0385928908	0.0443031183	0.0562692871	0.0453841161	0.0551882893
143.8157425534	0.0804826794	0.0335592178	0.0543840726	0.0596578246	0.0570696153	0.0569722819
144.5848106954	0.0792799691	0.0335204193	0.0481998183	0.0646005702	0.0545651446	0.0582352438
145.3538788374	0.0831738505	0.0492021617	0.0549078060	0.0774682063	0.0620824521	0.0702935602
146.1229469794	0.0858389851	0.0687365380	0.0571484021	0.0974271210	0.0771935113	0.0773820118
146.8920151214	0.0914335742	0.0950405758	0.0624837849	0.1239903651	0.1024732464	0.0840009035
147.6610832634	0.1088660730	0.1038069075	0.0630755193	0.1495974612	0.1059168995	0.1067560810
148.4301514054	0.0863361982	0.1011790771	0.0731801610	0.1143351143	0.1009118171	0.0866034582
149.1992195474	0.1127874086	0.1331246335	0.1252310636	0.1206809785	0.1197050752	0.1262069669
149.9682876894	0.1406928540	0.1718970362	0.1549390313	0.1576508590	0.1510420978	0.1615477925
150.7373558314	0.1455979329	0.1521215558	0.1314133726	0.1663061161	0.1835913453	0.1141281434
151.5064239734	0.1046500548	0.1484886665	0.1335404127	0.1195983086	0.1500335677	0.1031051536
152.2754921154	0.0717138186	0.1542804153	0.1137101208	0.1122841131	0.1333847409	0.0926094930
153.0445602574	0.0634481112	0.1328004293	0.0960118717	0.1002366688	0.1102333674	0.0860151731
153.8136283994	0.0611151643	0.1238745889	0.0953847297	0.0896050235	0.0900523562	0.0949373970
154.5826965414	0.0842678272	0.1202176885	0.1010568302	0.1034286854	0.1108988417	0.0935866739
155.3517646834	0.0941819391	0.1033639619	0.1249969314	0.0725489696	0.0965778419	0.1009680591
156.1208328254	0.1442461121	0.1411045202	0.1530964528	0.1322541795	0.1538531583	0.1314974740
156.8899009674	0.1398731846	0.1007002367	0.1004025683	0.1401708530	0.1695783857	0.0709950356
157.6589691094	0.1238031131	0.0701028099	0.0878324251	0.1060734979	0.1184502786	0.0754556444
158.4280372514	0.0735107071	0.0517153705	0.0563125002	0.0689135773	0.0688732505	0.0563528270
159.1971053934	0.0381639692	0.0522626819	0.0402691958	0.0501574553	0.0458162602	0.0446103909
159.9661735354	0.0224178348	0.0517158890	0.0348226618	0.0393110619	0.0318784487	0.0422552750
160.7352416774	0.0156221296	0.0489108728	0.0295043954	0.0350286070	0.0208221158	0.0437108866
161.5043098194	0.0125911142	0.0415543386	0.0299427045	0.0242027482	0.0091272068	0.0450182460
162.2733779614	0.0136328964	0.0160592584	0.0106660819	0.0190260729	0.0099574518	0.0197347029
163.0424461034	0.0236370612	0.0125977790	0.0134333720	0.0228014682	0.0163059673	0.0199288730
163.8115142454	0.0244353345	0.0089360354	0.0111576148	0.0222137551	0.0133151794	0.0200561905
164.5805823874	0.0169892983	0.0129448910	0.0123924325	0.0175417567	0.0146204961	0.0153136932
165.3496505294	0.0195683207	0.0154202427	0.0148062432	0.0201823202	0.0198396496	0.0151489137
166.1187186714	0.0244094938	0.0178943436	0.0195124906	0.0227913469	0.0269661628	0.0153376747
166.8877868134	0.0314776140	0.0216704863	0.0300706909	0.0230774095	0.0363399372	0.0168081631
167.6568549553	0.0404314716	0.0292471037	0.0440369288	0.0256416465	0.0446190870	0.0250594883
168.4259230973	0.0596548898	0.0392882322	0.0656110802	0.0333320418	0.0608610306	0.0380820914
169.1949912393	0.1077125949	0.0366662831	0.1034019604	0.0409769176	0.0652071899	0.0791716881
169.9640593813	0.1464626059	0.0444841383	0.1330398964	0.0579068477	0.0783389685	0.1126077756
170.7331275233	0.1784999423	0.0686883933	0.1498448638	0.0973434718	0.1022827823	0.1449055533
171.5021956653	0.3186596182	0.1152299444	0.2333814248	0.2005081377	0.2421682646	0.1917212980
172.2712638073	0.1195459423	0.0315295105	0.0680894621	0.0829859906	0.0937863040	0.0572891488
173.0403319493	0.0929232503	0.0364982036	0.0678828300	0.0615386239	0.0995043629	0.0299170910
173.8094000913	0.0425479247	0.0058642625	0.0339241225	0.0144880647	0.0445128127	0.0038993746
174.5784682333	0.0393615812	0.0042417351	0.0316796792	0.0119236371	0.0404680746	0.0031352417
175.3475363753	0.0395090135	0.0090456882	0.0352430444	0.0133116573	0.0422656964	0.0062890053
176.1166045173	0.0378529191	0.0246355843	0.0510219443	0.0114665591	0.0443147247	0.0181737788
176.8856726593	0.0344272826	0.0262823457	0.0473818938	0.0133277346	0.0423460778	0.0183635505
177.6547408013	0.0362640479	0.0259490512	0.0478232900	0.0143898091	0.0397250592	0.0224880399
178.4238089433	0.0388228130	0.0244140640	0.0451575589	0.0180793182	0.0357106377	0.0275262394
179.1928770853	0.0449353930	0.0197793684	0.0470009665	0.0177137949	0.0349207736	0.0297939878
179.9619452273	0.0527829411	0.0140283884	0.0454221982	0.0213891314	0.0322414361	0.0345698934
180.7310133693	0.0516304911	0.0179714229	0.0371860548	0.0324158593	0.0368900434	0.0327118706
181.5000815113	0.0314693688	0.0225439949	0.0238194942	0.0301938694	0.0382966895	0.0157166742
182.2691496533	0.0288578630	0.0199190817	0.0216103451	0.0271665996	0.0351517320	0.0136252127
183.0382177953	0.0272091977	0.0182688508	0.0229212875	0.0225567611	0.0343830884	0.0110949601
183.8072859373	0.0233858773	0.0140079080	0.0278735955	0.0095201898	0.0269629024	0.0104308829
184.5763540793	0.0127936845	0.0099998125	0.0200009721	0.0027925249	0.0148866742	0.0079068228
185.3454222213	0.0057257932	0.0103885890	0.0151290007	0.0009853815	0.0085193155	0.0075950667
186.1144903633	0.0020915261	0.0096723376	0.0100417943	0.0017220694	0.0058738506	0.0058900131
186.8835585053	0.0022955886	0.0049075847	0.0066902070	0.0005129663	0.0033099669	0.0038932064
187.6526266473	0.0010720005	0.0000000802	0.0010720005	0.0000000802	0.0000078640	0.0010642166
188.4216947893	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
189.1907629313	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
189.9598310733	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
190.7288992153	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
191.4979673573	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
192.2670354993	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
193.0361036412	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
193.8051717832	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
194.5742399252	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
195.3433080672	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
196.1123762092	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
196.8814443512	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
197.6505124932	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
198.4195806352	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
199.1886487772	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
199.9577169192	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
200.7267850612	0.0007895821	0.0017224943	0.0025120764	0.0000000000	0.0007860258	0.0017260507
201.4958532032	0.0003371071	0.0071759802	0.0063737554	0.0011393318	0.0006028319	0.0069102553
202.2649213452	0.0018694423	0.0089638953	0.0090303971	0.0018029406	0.0000000000	0.0108333376
203.0339894872	0.0041621082	0.0098011302	0.0092416175	0.0047216210	0.0017338147	0.0122294238
203.8030576292	0.0083388163	0.0088105626	0.0073011165	0.0098482623	0.0059563428	0.0111930360
204.5721257712	0.0111456321	0.0097657513	0.0092556214	0.0116557619	0.0050458369	0.0158655464
205.3411939132	0.0075630517	0.0181745358	0.0120283474	0.0137092400	0.0033712850	0.0223663025
206.1102620552	0.0069685903	0.0258063724	0.0149288566	0.0178461061	0.0148406774	0.0179342853
206.8793301972	0.0109959808	0.0430654156	0.0254323882	0.0286290082	0.0181160628	0.0359453335
207.6483983392	0.0226025675	0.0273486807	0.0182783650	0.0316728832	0.0169752238	0.0329760244
208.4174664812	0.0315603451	0.0165660233	0.0181532329	0.0299731356	0.0243033435	0.0238230250
209.1865346232	0.0247791285	0.0126357166	0.0138020236	0.0236128215	0.0159013738	0.0215134713
209.9556027652	0.0236681554	0.0095775225	0.0117799604	0.0214657175	0.0136402195	0.0196054584
210.7246709072	0.0228622922	0.0159931978	0.0184995730	0.0203559169	0.0169306032	0.0219248867
211.4937390492	0.0227652640	0.0210492344	0.0227504160	0.0210640823	0.0232499708	0.0205645276
212.2628071912	0.0232570932	0.0248772780	0.0279320350	0.0202023362	0.0289849921	0.0191493791
213.0318753332	0.0257214709	0.0283404608	0.0302449691	0.0238169626	0.0281686806	0.0258932511
213.8009434752	0.0382859810	0.0270157163	0.0257505311	0.0395511662	0.0258954406	0.0394062568
214.5700116172	0.0400215888	0.0231615890	0.0219900641	0.0411931137	0.0257576799	0.0374254979
215.3390797592	0.0442852795	0.0169137582	0.0218315713	0.0393674663	0.0253243357	0.0358747019
216.1081479012	0.0470288382	0.0126718548	0.0225382771	0.0371624159	0.0249192932	0.0347813998
